Participant,AWEQ,AWE.1,AWE.2,AWE.3,AWE.4,AWE.5,AWE.6,AWE.7,AWE.8,AWE.9,AWE.10,AWE.11,AWE.12,AWE.13,AWE.14,AWE.15,AWE.16,AWE.17,AWE.18,AgeLearn,AgeFluent,AgeRead,AgeFluentRead,PrimInstruct,CounEng,FamEng,EnvEng,ForeignAccent,EngRead,EngWrite,EngSpeak,EngListen,EngProf,ThaiDaily,EngDaily,ThaiAcad,EngAcad
74,2.666666667,5,1,1,5,4,3,3,1,1,4,4,1,3,4,1,5,1,1,18,23,18,23,Both,0.8,0,10,10,Average,Good,Good,Good,Good,50,50,0,100
75,2.4,5,NA,4,NA,4,1,1,NA,3,4,4,1,2,3,1,1,1,1,5,20,15,20,Both,8,0,8,0,Excellent,Good,Excellent,Excellent,Excellent,20,80,0,100
76,2.642857143,5,1,NA,3,5,3,2,NA,2,3,3,NA,NA,5,1,2,1,1,3,21,3,24,Class,3,0,3,5,Poor,Poor,Average,Average,Average,10,90,0,100
77,4.764705882,5,3,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,NA,3,16,12,16,Both,5,1,5,1,Excellent,Good,Excellent,Excellent,Excellent,0,100,0,100
78,3.769230769,5,NA,4,3,5,2,4,4,3,3,5,3,3,NA,NA,NA,5,NA,5,24,6,11,Other,4,0,7,7,Excellent,Good,Good,Good,Good,10,90,0,100
79,3.25,4,NA,NA,5,4,4,1,NA,4,4,1,NA,2,5,2,NA,3,NA,3,18,3,18,Both,1,0,7,5,Average,Average,Average,Good,Average,60,40,0,100
80,2.777777778,5,NA,1,2,3,NA,NA,NA,NA,3,2,NA,2,5,NA,2,NA,NA,10,23,12,20,Class,1,0,1,6,Good,Average,Average,Average,Average,40,60,0,100
81,3,5,4,1,5,4,1,1,1,2,5,5,3,3,4,4,1,2,3,6,18,18,25,Both,2,0,2,2,Excellent,Good,Excellent,Excellent,Excellent,10,90,0,100
82,4.75,3,NA,NA,5,5,NA,NA,NA,5,5,5,NA,5,NA,NA,5,NA,NA,3,12,4,9,Both,2,NA,14,1,Excellent,Good,Good,Excellent,Excellent,50,50,90,10
83,5,5,5,5,5,5,NA,5,5,5,5,5,NA,5,5,5,5,NA,5,8,25,8,20,Interact,5,0,5,6,Excellent,Excellent,Average,Excellent,Excellent,80,20,5,95
84,3.615384615,5,NA,NA,3,5,3,3,3,3,5,5,3,3,5,NA,1,NA,NA,5,12,7,18,Both,1,NA,NA,6,Good,Excellent,Average,Good,Good,60,40,0,100
